iter	RMSE
0	566.0070762
1	543.2404024
2	519.1702884
3	493.2396018
4	470.6563708
5	446.3834236
6	423.01782
7	399.4140023
8	384.9753057
9	367.938475
10	352.7118412
11	338.9705315
12	329.3946405
13	314.996326
14	307.2063974
15	296.2885186
16	286.3167946
17	276.0356206
18	266.2378732
19	255.3198944
20	248.2773468
21	243.5274539
22	235.6801002
23	231.8546991
24	225.6438885
25	219.5852284
26	215.3596391
27	212.6675853
28	207.8600787
29	205.0614324
30	203.6378833
31	200.4868627
32	198.3871489
33	194.2340904
34	190.4545854
35	189.0169463
36	188.1335612
37	184.9327787
38	182.1604305
39	180.4680746
40	178.1024354
41	176.5379885
42	175.0434486
43	174.0435052
44	173.1086576
45	170.9244139
46	170.4326294
47	168.152234
48	167.539078
49	165.2463981
50	163.4748633
51	162.7917919
52	161.8866755
53	160.5238844
54	159.856147
55	158.7400133
56	158.2865456
57	156.8673955
58	155.6316004
59	154.9273505
60	154.4593138
61	153.139612
62	152.2457723
63	150.7050172
64	149.5012798
65	149.2101844
66	148.2354097
67	147.8561498
68	147.3614437
69	146.8532183
70	146.6592386
71	146.2149077
72	145.7225889
73	144.2564525
74	143.2813907
75	142.6960078
76	142.4398815
77	141.6334721
78	141.052507
79	140.2094207
80	139.3688233
81	139.1679063
82	138.7450121
83	138.0631806
84	137.2914363
85	136.8474283
86	136.3001467
87	135.6253016
88	135.0398681
89	134.6982177
90	134.1133323
91	133.5160188
92	132.9514676
93	132.6069202
94	132.4082514
95	131.9276985
96	131.4433152
97	130.6977877
98	130.2788527
99	130.0112717
100	129.7688486
101	129.3908597
102	129.2248583
103	129.028981
104	128.4136412
105	128.1610291
106	127.6383808
107	127.2788983
108	126.9143634
109	126.6022238
110	126.2927854
111	125.9003349
112	125.62183
113	125.3453539
114	124.9989918
115	124.724971
116	124.072499
117	123.6482385
118	123.3781056
119	123.0169791
120	122.6981485
121	122.1751214
122	121.9453558
123	121.4904019
124	121.2289634
125	121.0318292
126	120.712213
127	120.3349835
128	120.0910862
129	119.8164575
130	119.672441
131	119.3126809
132	119.0080597
133	118.9132085
134	118.7274575
135	118.3502444
136	118.2089071
137	117.8022328
138	117.4200964
139	117.190802
140	116.9891336
141	116.8869278
142	116.673397
143	116.4256318
144	116.1679868
145	115.8436886
146	115.6277882
147	115.193102
148	114.9828149
149	114.5350661
150	114.2500556
151	113.9484816
152	113.5758139
153	113.3044831
154	113.1226714
155	112.7849173
156	112.5357003
157	112.2681254
158	112.0939682
159	111.8052062
160	111.3772379
161	111.1706023
162	111.0912463
163	111.0102765
164	110.7812521
165	110.5323314
166	110.3622238
167	110.0795109
168	110.0055282
169	109.5504359
170	109.3189532
171	109.1500677
172	109.0112749
173	108.7427248
174	108.5094975
175	108.3349075
176	108.17625
177	107.7963605
178	107.5937746
179	107.4199704
180	107.3756109
181	107.2386712
182	107.1160143
183	107.0119285
184	106.7541132
185	106.5417555
186	106.3185993
187	105.9656479
188	105.8550027
189	105.6247275
190	105.5131214
191	105.2337867
192	105.1628632
193	104.900753
194	104.6364675
195	104.4568332
196	104.341221
197	104.2226715
198	104.1211001
199	103.7269198
200	103.6153148
201	103.4258878
202	103.3489739
203	103.311828
204	103.2314209
205	103.1059307
206	102.9106547
207	102.5561247
208	102.3575429
209	102.1600519
210	101.9824154
211	101.8755802
212	101.7624096
213	101.658272
214	101.4744032
215	101.1825949
216	100.9428651
217	100.7313803
218	100.6421599
219	100.5512669
220	100.4134441
221	100.2599858
222	100.1190092
223	99.92845602
224	99.6937894
225	99.61211973
226	99.37309531
227	99.32209547
228	99.21392398
229	99.03400745
230	98.71792001
231	98.55568713
232	98.18036652
233	98.04270723
234	97.7577127
235	97.45749771
236	97.07936747
237	96.96861713
238	96.75707213
239	96.64938684
240	96.50178559
241	96.35106163
242	96.13142259
243	96.01648103
244	95.88503014
245	95.64526241
246	95.50929118
247	95.44662267
248	95.368771
249	95.28187664
250	95.23444991
251	95.07508657
252	94.85209072
253	94.75817017
254	94.53317188
255	94.31898984
256	94.15522999
257	94.02584621
258	93.82931994
259	93.68378662
260	93.63252015
261	93.4945401
262	93.43960883
263	93.27386257
264	93.07821596
265	93.0294121
266	92.9612945
267	92.83411079
268	92.7616627
269	92.7110216
270	92.49976145
271	92.44428138
272	92.3014217
273	92.08812924
274	91.99631216
275	91.93688643
276	91.78916488
277	91.72368854
278	91.47919761
279	91.42569893
280	91.26038683
281	91.14884604
282	91.08197547
283	90.96433271
284	90.90494692
285	90.83527002
286	90.75109992
287	90.70393879
288	90.53772045
289	90.48476874
290	90.36193796
291	90.30622227
292	90.21092676
293	90.06902202
294	89.96923266
295	89.88759135
296	89.73003593
297	89.57172999
298	89.52275321
299	89.32459743
300	89.18833698
301	89.13538764
302	89.09493422
303	89.00320318
304	88.80623155
305	88.69354886
306	88.53627607
307	88.36459897
308	88.26063063
309	88.04694264
310	87.95734916
311	87.84074692
312	87.78585798
313	87.72767591
314	87.56736644
315	87.35041289
316	87.23018707
317	86.99289358
318	86.75271002
319	86.65840681
320	86.55201527
321	86.44177395
322	86.3334632
323	86.27225157
324	86.22801419
325	86.1242315
326	86.0668274
327	85.89187717
328	85.81404143
329	85.73292661
330	85.69518837
331	85.45863357
332	85.29453858
333	85.15200934
334	84.95515744
335	84.91989539
336	84.84137616
337	84.77400359
338	84.64464843
339	84.54474902
340	84.47609715
341	84.43939243
342	84.42155961
343	84.31575308
344	84.21278581
345	84.07969362
346	83.92033077
347	83.71962454
348	83.63518076
349	83.5458186
350	83.39085628
351	83.22684106
352	83.21129362
353	83.17725995
354	83.11326542
355	83.08457137
356	83.05872849
357	82.92878626
358	82.87300423
359	82.74026737
360	82.6826908
361	82.58576544
362	82.56789116
363	82.50419389
364	82.49228451
365	82.37324313
366	82.31058551
367	82.21610189
368	82.09248577
369	82.03282258
370	81.91765669
371	81.79759612
372	81.77384501
373	81.75499951
374	81.66793948
375	81.62501739
376	81.50966114
377	81.46025099
378	81.42055588
379	81.29881935
380	81.14653361
381	81.05325704
382	81.01953604
383	80.9762189
384	80.82477417
385	80.79029495
386	80.74681387
387	80.60748315
388	80.53730318
389	80.40088703
390	80.19363865
391	80.12295022
392	80.05682951
393	79.87358762
394	79.78109096
395	79.64805219
396	79.57115878
397	79.50243399
398	79.37349473
399	79.30780698
400	79.26717832
401	79.09664558
402	79.01785146
403	78.9110632
404	78.86432618
405	78.84979566
406	78.78673065
407	78.72398352
408	78.65757443
409	78.62090649
410	78.58039143
411	78.49297323
412	78.38776889
413	78.30665551
414	78.2337594
415	78.21343884
416	78.05978952
417	78.02785661
418	77.9396632
419	77.76883228
420	77.74009543
421	77.64650339
422	77.57582669
423	77.52644769
424	77.45192036
425	77.42202321
426	77.30544385
427	77.24711235
428	77.12727291
429	77.12338573
430	77.01918737
431	76.94180945
432	76.72843363
433	76.67013004
434	76.63541487
435	76.55969889
436	76.55625377
437	76.50849444
438	76.41887577
439	76.32153685
440	76.27475319
441	76.21285428
442	76.17047834
443	76.14092617
444	75.90252578
445	75.84462198
446	75.7377313
447	75.63477217
448	75.55100635
449	75.4472483
450	75.28423661
451	75.27190425
452	75.21391128
453	75.10533844
454	75.0639741
455	74.98708752
456	74.95071453
457	74.81875748
458	74.71777871
459	74.68627661
460	74.60896941
461	74.56651605
462	74.47693811
463	74.35320408
464	74.30786766
465	74.27628148
466	74.24099083
467	74.20588707
468	74.10783621
469	74.03001788
470	73.89311419
471	73.79468385
472	73.76419671
473	73.75571737
474	73.72243664
475	73.65839689
476	73.61358088
477	73.51349301
478	73.45292014
479	73.38072606
480	73.26661461
481	73.11343743
482	73.01188623
483	72.96707231
484	72.91379645
485	72.82041781
486	72.71670922
487	72.70657606
488	72.61132256
489	72.48515715
490	72.29210514
491	72.2209789
492	72.17645192
493	72.15085599
494	72.12267982
495	72.00035249
496	71.91698827
497	71.87272122
498	71.76380924
499	71.67680111
500	71.58930426
501	71.50194472
502	71.48059255
503	71.40425279
504	71.30038456
505	71.2757735
506	71.09774107
507	70.91846475
508	70.85762392
509	70.83369704
510	70.76307227
511	70.66892149
512	70.64437207
513	70.62695186
514	70.46869389
515	70.38658502
516	70.33198476
517	70.30601295
518	70.29277553
519	70.27441388
520	70.21976043
521	70.19090422
522	70.15938491
523	70.14784223
524	70.13060878
525	70.02757752
526	70.02181796
527	69.90535493
528	69.78192903
529	69.65373102
530	69.4731404
531	69.27431415
532	69.25475323
533	69.23389365
534	69.06937634
535	68.93183803
536	68.89321264
537	68.80988661
538	68.730355
539	68.66869805
540	68.62372588
541	68.55434015
542	68.46688712
543	68.37319884
544	68.30031598
545	68.1720842
546	68.09717736
547	67.96134674
548	67.84404116
549	67.82312189
550	67.79931466
551	67.68465973
552	67.65217318
553	67.59297444
554	67.56062526
555	67.44202665
556	67.37780342
557	67.34666102
558	67.31164977
559	67.28968264
560	67.17873756
561	67.12263584
562	67.07662545
563	66.99420502
564	66.93327236
565	66.87960423
566	66.86287209
567	66.83937569
568	66.83596726
569	66.813043
570	66.78597713
571	66.74368342
572	66.72918961
573	66.68660518
574	66.67658745
575	66.66039676
576	66.63584561
577	66.5683298
578	66.48926248
579	66.48490456
580	66.44349316
581	66.3645355
582	66.32019856
583	66.29026086
584	66.24556034
585	66.21386844
586	66.10993718
587	66.05600536
588	66.03732359
589	65.97961277
590	65.85479209
591	65.80158832
592	65.79592065
593	65.72173269
594	65.67688516
595	65.5407796
596	65.3687858
597	65.31679696
598	65.27139957
599	65.22451513
600	65.2118481
601	65.14044084
602	65.03985983
603	64.97595654
604	64.92562458
605	64.88130628
606	64.81715541
607	64.78953359
608	64.73805601
609	64.67344317
610	64.57167928
611	64.49751184
612	64.41637644
613	64.37761952
614	64.32786526
615	64.28121828
616	64.24188016
617	64.16339355
618	64.1309725
619	64.01918031
620	63.9945622
621	63.82560894
622	63.7806558
623	63.7683451
624	63.69624408
625	63.68095665
626	63.62377933
627	63.60067652
628	63.58804829
629	63.55392566
630	63.50079348
631	63.43189264
632	63.34893851
633	63.28846502
634	63.23124422
635	63.1310341
636	63.02888593
637	62.99974927
638	62.96849563
639	62.86945724
640	62.83482852
641	62.71911701
642	62.63802559
643	62.56112524
644	62.49924615
645	62.49186836
646	62.48005379
647	62.39351687
648	62.38787552
649	62.36813999
650	62.32677546
651	62.22448339
652	62.20224025
653	62.16892348
654	62.08870379
655	62.04385071
656	62.01891365
657	61.95896069
658	61.89837945
659	61.87986937
660	61.79503973
661	61.73223981
662	61.68045075
663	61.64659819
664	61.51923883
665	61.41152826
666	61.34253606
667	61.26849862
668	61.25497668
669	61.24739196
670	61.21636846
671	61.15008499
672	61.08979182
673	61.07629893
674	60.98571842
675	60.93451089
676	60.91731307
677	60.85831875
678	60.81356296
679	60.73852406
680	60.61889953
681	60.56448076
682	60.53927241
683	60.51012911
684	60.49258297
685	60.44231714
686	60.29056795
687	60.27816271
688	60.24123258
