iter	Passed	Remaining
0	0	539
1	0	472
2	1	463
3	1	454
4	2	444
5	2	436
6	3	430
7	3	426
8	3	429
9	4	424
10	4	423
11	5	422
12	5	420
13	5	418
14	6	417
15	6	417
16	7	415
17	7	414
18	8	413
19	8	412
20	8	409
21	9	409
22	9	410
23	10	408
24	10	407
25	10	407
26	11	405
27	11	404
28	12	403
29	12	401
30	12	401
31	13	399
32	13	398
33	14	398
34	14	398
35	14	397
36	15	396
37	15	396
38	16	396
39	16	395
40	16	394
41	17	393
42	17	393
43	18	392
44	18	392
45	18	390
46	19	390
47	19	390
48	20	390
49	20	390
50	21	392
51	21	393
52	22	402
53	23	403
54	23	401
55	23	399
56	24	399
57	24	397
58	24	395
59	25	394
60	25	392
61	25	391
62	26	390
63	26	389
64	26	388
65	27	386
66	27	385
67	27	383
68	28	382
69	28	381
70	29	379
71	29	378
72	29	376
73	30	375
74	30	374
75	30	373
76	31	372
77	31	370
78	31	369
79	32	368
80	32	367
81	32	366
82	33	365
83	33	364
84	33	363
85	34	362
86	34	361
87	34	360
88	35	359
89	35	359
90	35	358
91	36	358
92	36	358
93	37	358
94	37	357
95	37	357
96	38	357
97	38	357
98	39	356
99	39	356
100	40	356
101	40	356
102	40	356
103	41	356
104	41	355
105	42	355
106	42	355
107	43	355
108	43	354
109	43	354
110	44	354
111	44	354
112	45	353
113	45	353
114	45	352
115	46	352
116	46	351
117	47	351
118	47	351
119	47	350
120	48	350
121	48	349
122	48	349
123	49	349
124	49	348
125	50	348
126	50	347
127	50	347
128	51	346
129	51	346
130	52	345
131	52	345
132	52	345
133	53	344
134	53	344
135	54	343
136	54	343
137	54	343
138	55	343
139	55	342
140	56	342
141	56	342
142	57	342
143	57	342
144	58	343
145	58	344
146	60	348
147	60	348
148	60	348
149	61	347
150	61	347
151	62	347
152	62	346
153	63	346
154	63	345
155	63	345
156	64	344
157	64	344
158	64	343
159	65	342
160	65	341
161	65	341
162	66	340
163	66	339
164	67	339
165	67	338
166	67	337
167	68	337
168	68	336
169	68	335
170	69	334
171	69	334
172	69	333
173	70	332
174	70	331
175	70	331
176	71	330
177	71	329
178	71	329
179	72	328
180	72	327
181	72	326
182	73	326
183	73	325
184	73	324
185	74	324
186	74	323
187	74	322
188	75	322
189	75	321
190	75	321
191	76	320
192	76	320
193	76	319
194	77	318
195	77	318
196	78	318
197	78	317
198	78	317
199	79	316
200	79	316
201	79	315
202	80	315
203	80	315
204	81	314
205	81	314
206	82	314
207	82	313
208	82	313
209	83	313
210	83	312
211	84	312
212	84	311
213	84	311
214	85	311
215	85	310
216	85	310
217	86	309
218	86	309
219	87	309
220	87	308
221	88	308
222	88	308
223	88	307
224	89	307
225	89	307
226	90	306
227	90	306
228	90	305
229	91	305
230	91	304
231	91	304
232	92	304
233	92	303
234	93	303
235	93	302
236	93	302
237	94	302
238	94	301
239	95	301
240	95	300
241	95	300
242	96	300
243	96	299
244	97	299
245	97	298
246	97	298
247	98	298
248	98	297
249	99	297
250	99	296
251	99	296
252	100	296
253	100	295
254	101	295
255	101	295
256	101	294
257	102	294
258	102	294
259	103	293
260	103	293
261	103	292
262	104	292
263	104	291
264	105	291
265	105	291
266	105	290
267	106	290
268	106	289
269	106	288
270	107	288
271	107	287
272	107	287
273	108	286
274	108	286
275	109	286
276	109	286
277	110	286
278	110	285
279	110	285
280	111	284
281	111	283
282	111	283
283	112	282
284	112	282
285	112	281
286	113	281
287	113	280
288	113	280
289	114	279
290	114	279
291	114	278
292	115	278
293	115	277
294	116	277
295	116	276
296	116	276
297	117	275
298	117	275
299	117	274
300	118	274
301	118	273
302	118	273
303	119	272
304	119	272
305	119	271
306	120	271
307	120	270
308	120	270
309	121	270
310	121	269
311	122	269
312	122	268
313	122	268
314	123	267
315	123	267
316	123	266
317	124	266
318	124	266
319	124	265
320	125	265
321	125	264
322	125	264
323	126	263
324	126	263
325	126	262
326	127	262
327	127	261
328	128	261
329	128	260
330	128	260
331	129	259
332	129	259
333	129	258
334	130	258
335	130	257
336	130	257
337	131	256
338	131	256
339	131	255
340	132	255
341	132	254
342	132	254
343	133	253
344	133	253
345	133	252
346	134	252
347	134	251
348	134	251
349	135	250
350	135	250
351	135	249
352	136	249
353	136	248
354	136	248
355	137	247
356	137	247
357	137	246
358	138	246
359	138	246
360	138	245
361	139	245
362	139	244
363	139	244
364	140	243
365	140	243
366	140	242
367	141	242
368	141	241
369	141	241
370	142	241
371	142	240
372	142	240
373	143	239
374	143	239
375	143	238
376	144	238
377	144	237
378	144	237
379	145	236
380	145	236
381	145	235
382	146	235
383	146	235
384	146	234
385	147	234
386	147	233
387	147	233
388	148	232
389	148	232
390	148	231
391	149	231
392	149	231
393	149	230
394	150	230
395	150	229
